Deposit	District	County	State	Long	Lat	No.	Deposit Type	No.	Alternative deposit types	Environmental Model	Discovery Year	Production Dates	Production Tonnage	Tonnage Units	Production Gold oz	Production Silver oz	Production Copper lbs	Production Lead lbs	Production Zinc lbs	Other Production	"References:Production"	Resource Year	Resource Tonnage	Tonnage Units	Grade Au opt or gpt	Grade Ag opt or gpt	Grade Cu (%)	Grade Pb (%)	Grade Zn (%)	Other Grades	"References:Resources"	Comments	Operators	Tonnage thousand metric t	Au metric t	Ag metric t	Cu thousand metric t	Pb thousand metric t	Zn thousand metric t	Tonnage thousand metric t	Au metric t	Ag metric t	Cu thousand metric t	Pb thousand metric t	Zn thousand metric t	Nu Layer	Tract	Map No.	Seq. No.	Active Mine	"New Mine(date production will begin)"	Active Prospect	"Best Source(for updating)"
Blue Dog	Weiser	Washington	ID	-116.933	44.312	25a	Hot-spring Au-Ag				by 1991		no		no	no	no	no	no			1991	"6,000,000"	short t	.025 to .033	unk	no	no	no		SEGN#11		Gold Canyon Resources	no	no	no	no	no	no	"5,400"	5 to 6	unk	no	no	no								
Bobcat Gulch	Eureka	Lemhi	ID	-113.994	45.356	21a	Porphyry Cu-Mo			Porphyry Cu	1977		no		no	no	no	no	no				"60,000,000"	short t	unk	unk	0.50	no	no	Molybdenum	Randol 1996		Formation Capitol	no	no	no	no	no	no	"54,000"	unk	unk	272	no	no							Yes	
Boise Basin	Boise Basin	Boise	ID	-116.083	43.917	22c	"Vein, polymetallic, Au-Ag"	25c	"Epithermal vein, Comstock"	Polymetallic vein and replacement	1862	1863-1940	unk		"733,386"	sig	unk	unk	unk		"Anderson, 1947"												 	unk	23	sig	unk	unk	unk							PMV	PMVG	17	612				
Boise Basin 	Boise Basin 	Boise	ID	-115.900	43.857	39a	Placer Au-PGE				1862	1862-1958			"2,300,000"	unk	no	no	no		"Koschmann and Bergendahl, 1968"														72	unk	no	no	no							PLAC	PLAC	35	500				
Bunker Hill - Last Chance	Yreka	Shoshone	ID	-116.138	47.536		"Vein, polymetallic, Coeur d' Alene"		Revett-St Regis Fms		1885	1887-1990	"42,739,696"	short t	"32,484"	"140,632,566"	"19,723,884"	"5,664,674,208"	"2,344,064,888"	"Cadmium, antimony, barite, cobalt"	"Mitchell and Bennett, 1983; Bennett and Springer, 1991"	1990	"8,430,000"	short t	unk	1.60	unk	2.80	4.80	Cadmium	"Randol, 1990"		New Bunker Hill	"38,773"	1	"4,374"	9	"2,569"	"1,063"	"7,650"	unk	420	unk	214	367	PMV	PMVD	"5
13"	573	Yes			
Caledonia	Yreka	Shoshone	ID	-116.168	47.524		"Vein, polymetallic, Coeur d' Alene"		Revett-St Regis Fms		by 1896	1909-1942	"263,182"	short t	323	"8,092,307"	"3,707,336"	"66,775,589"	no		"Mitchell and Bennett, 1983"												New Bunker Hill	239	neg	252	2	30	no							PMV	PMVD	09	577				
Champagne	Lava Creek	Butte	ID	-113.571	43.594	25a	Hot-spring Au-Ag	25c	"Epithermal vein, Comstock"		1883	1886-1993	"3,687,779"	short t	"61,475"	"850,974"	"80,000"	"1,576,000"	"2,922,000"		"Anderson, 1929; USBM Minerals Yearbook 1937-49; Glamis Gold 1987-88 SEC Form 20F; Bema Gold 1991-93 SEC Form 20F"											Reserves depleted.	Idaho Gold	"3,346"	2	27	neg	neg	1							HTSG	NR28	03	338	Shut down	Reclaimed 1995		
Clayton	Bayhorse	Custer	ID	-114.410	44.283	19a	Polymetallic replacement			Polymetallic vein and replacement	1877	1935-1986	"2,375,000"	short t	"2,284"	"6,811,000"	"1,413,977"	"84,294,000"	"27,524,425"		"Fisher and others, 1995; USBM Minerals Yearbook, 1935-1977; Clayton Silver 1978-89 Annual Reports"	1989	"170,994"	short t	unk	3.89	unk	unk	unk			 	Clayton International Resources	"2,155"	0.07	212	1	38	13	155	neg	21	neg	neg	neg	PMR1	NR12	01	307				
Coeur	Placer Center	Shoshone	ID	-115.992	47.489		"Vein, polymetallic, Coeur d' Alene"		Revett-St Regis Fms		1968	1969-1996	"2,366,113"	short t	"4,585"	"38,280,791"	"33,678,000"	"331,731"	"474,912"		"Mitchell and Bennett, 1983; Asarco and Coeur d'Alene Mines SEC Form 10K 1981-1996"	1996	"451,000"	short t	unk	15.59	0.69	no	no		Coeur d'Alene Mines 1996 SEC Form 10K		Asarco - Coeur d'Alene Mines	"2,147"	0.01	"1,191"	15	neg	neg	409	unk	219	3	unk	unk	PMV	PMVD	21	589	Yes but may close late 1997 or early 1998			Asarco and Coeur d'Alene SEC Form 10K; www.asarco.com; www.coeur.com
Colorado Gulch	Colorado Gulch	Blaine	ID	-114.331	43.483		Unclassified						unk		unk	unk	unk	unk	unk			1989	"280,000"	short t	0.25	unk	no	no	no			AMH 1997 entry for Atlantis Mining & Mfg	Atlantis	unk	unk	unk	unk	unk	unk	250	2	unk	no	no	no								
Crescent	Yreka - Evolution	Shoshone	ID	-116.073	47.506		"Vein, polymetallic, Coeur d' Alene"		Revett-St Regis Fms		by 1886	1917-1986	"1,202,866"	short t	731	"26,628,367"	"9,090,794"	"5,334,385"	"657,477"	Antimony	"Mitchell and Bennett, 1983; Bennett and Springer, 1991; Crescent Mine Bullion Book"										"Randol, 1992"	Includes production of Alhambra and Big Creek mines.		"1,091"	neg	828	4	2	neg		unk	123	unk	unk	unk	PMV	PMVD	17	585				
Cumo	Grimes Pass	Boise	ID	-115.783	44.038	21b	"Porphyry Mo, Low-F"				1963		no		no	no	no	no	no		"Baker, 1985; Kiilsgaard and others, 1989"		"1,000,000,000"	short t	unk	0.06	0.06	no	no	0.06% Mo; .008% W	"Kirkham and Sinclair, 1995"		Cimarron Minerals	no	no	no	no	no	no	"907,000"	unk	"1,866"	544	no	no	MO	MOLF	02	240				
Dayrock	Placer Center	Shoshone	ID	-115.900	47.512		"Vein, polymetallic, Coeur d' Alene"				by 1923	1924-1974	"1,276,488"	short t	"1,406"	"6,526,992"	"794,672"	"154,918,341"	"7,762,003"		"Mitchell and Bennett, 1983"	1974	"61,200"	short t	unk	9.00	unk	8.40	unk		Day Mines 1973-74 Annual Report		Hecla	"1,158"	neg	203	neg	70	4	56	unk	17	unk	5	unk	PMV	PMVD	14	582				
DeLamar - Stone Cabin	De Lamar	Owyhee	ID	-116.831	43.020	25a	Hot-spring Au-Ag	25c	"Epithermal vein, Comstock"		1889	1891-1996	"20,971,000"	short t	"987,473"	"39,116,000"	no	no	no		"Piper and Laney, 1926; Mapco SEC Form 10K 1980-84; Nerco SEC Form 10K 1985-91; Kinross Gold Annual Report 1993-96"	1996	"11,621,000"	metric t	1.35	35.26	no	no	no		Kinross Gold 1995 Annual Report		Kinross Gold	"19,025"	31	"1,217"	no	no	no	"11,621"	16	410	no	no	no	HTSG	PC32	"1
2"	383	Yes			www.kinross.com
Eagle Creek	Eagle	Shoshone	ID	-115.863	47.698	30b	"Sediment-hosted Cu, Revett"			Sediment-hosted Cu	by 1910		no		no	no	no	no	no			1977	"15,000,000"	metric t	unk	16.00	0.47	no	no		"Spanski, 1992"		Niagara Mining and Development	no	no	no	no	no	no	"15,000"	unk	240	71	no	no								
Elk City	Elk City	Idaho	ID	-115.471	45.825	22c	"Vein, polymetallic, Au-Ag"		Idaho Batholith type; disseminated	Polymetallic vein and replacement	1870	1870-1930	unk		"143,000"	unk	neg	neg	neg		"Shenon and Reed, 1934; Bliss, 1994"	1995	"9,200,000"	short t	0.03	unk	no	no	no		Randol 1996	"Oxide resource at Buffalo Gulch, Ericson Reef, Deadwood, and Friday"	Bema Gold - Idaho Consolidated Metals		4	unk	neg	neg	neg	"8,300"	7	unk	no	no	no	PMV	PMVG	04	599			Yes	
Elk City	Elk City	Idaho	ID	-115.455	45.820	39a	Placer Au-PGE				1861	1861-1900			"895,000"	unk	no	no	no		"Thompson and Ballard, 1924"														28	unk	no	no	no							PLAC	PLAC	23	488				
Florence	Florence	Idaho	ID	-116.033	44.517	39a	Placer Au-PGE				1861	1861-1936			"1,000,000"	unk	no	no	no		"Brooks, 1969"														31	unk	no	no	no							PLAC	PLAC	32	497				
Galena	Placer Center	Shoshone	ID	-115.965	47.477		"Vein, polymetallic, Coeur d' Alene"		Revett-St Regis Fms		1885	1922-1992	"6,207,672"	short t	"18,456"	"135,713,530"	"94,631,387"	"25,310,516"	"3,851,306"		"Mitchell and Bennett, 1983; Bennett and Springer, 1991; Asarco and Coeur d'Alene Mines 1981-92 SEC Form 10K"	1996	"2,416,000"	short t	unk	14.72	0.39	2.64	unk		Coeur d'Alene Mines 1996 SEC Form 10K		Asarco - Coeur d'Alene Mines	"5,632"	0.6	"4,221"	43	12	2	"2,192"	unk	"1,106"	9	58	unk	PMV	PMVD	23	591	To reopen 7/1997			Asarco and Coeur d'Alene SEC Form 10K; www.asarco.com; www.coeur.com
Gibbonsville	Gibbonsville	Lemhi	ID	-113.925	45.555	39a	Placer Au-PGE				1877	1877-1938			"96,000"	unk	no	no	no		"Bergendahl, 1964; Ross, 1941"														3	unk	no	no	no							PLAC	PLAC	24	489				
Gold Fork (Little Valley)	Donnelly	Valley	ID	-116.023	44.698	39a	Placer Au-PGE				by 1917				neg	neg	no	no	no		"Storch, 1958"	1917	"48,000,000"	cu yds	0.11	unk	no	no	no	Ilmenite	"Storch, 1958"				neg	neg	no	no	no		16	unk	no	no	no								
Gold Hunter	Hunter	Shoshone	ID	-115.785	47.472		"Vein, polymetallic, Coeur d' Alene"		Wallace Fm		1882	1901-1954	"3,260,750"	short t	615	"9,955,082"	"456,810"	"195,209,698"	"1,144,318"		"Mitchell and Bennett, 1983"	1996	"668,760"	short t	unk	16.70	unk	9.40	1.80		Hecla 1996 SEC Form 10K	Production in 1996 included in Lucky Friday mine production.	Hecla	"2,958"	neg	310	neg	89	neg	607	unk	347	unk	57	11	PMV	PMVD	24	592				
Golden Chest	Summit	Shoshone	ID	-115.834	47.617	36a	Low-sulfide Au-quartz vein			Low-sulfide Au-quartz vein	1883	1902-1949	"61,704"	short t	"11,874"	"6,610"	"16,366"	"93,450"	719	Tungsten	"Mitchell and Bennett, 1983"	1989	"4,800,000"	short t	0.04	unk	unk	unk	unk		E/MJ 6/1989	Substantial production before 1902.	Golden Chest	56	0.4	0.2	neg	neg	neg	"4,400"	6	unk	unk	unk	unk							Being promoted	
Golden Eagle	Orogrande - Ten Mile	Idaho	ID	-115.583	45.667		Unclassified						unk		unk	unk	unk	unk	unk				"8,000,000"	short t	0.14	unk	no	no	no		AMH 1997 entry for Idaho Consolidated Metals		Idaho Consolidated Metals	unk	unk	unk	unk	unk	unk	"7,300"	34	unk	no	no	no								
Grouse Creek	Yankee Fork	Custer	ID	-114.736	44.439	25a	Hot-spring Au-Ag	25c	"Epithermal vein, Comstock"		by 1967	1994-1996	"3,033,883"	short t	"130,380"	"824,854"	no	no	no		Hecla 1996 SEC Form 10K	1996	"6,767,552"	short t	0.04	0.93	no	no	no				Hecla	"2,752"	4	26	no	no	no	"6,140"	7	196	no	no	no	HTSG	NR28	02	337	Shut down 2Q 1997			Hecla SEC Form 10K
Hailey gold belt	Camas	Blaine	ID	-114.450	43.417	22c	"Vein, polymetallic, Au-Ag"		Idaho Batholith type	Polymetallic vein and replacement	1865	1885-1900s	unk		"129,000"	"1,150,000"	neg	neg	neg		"Bergendahl, 1964"												Advanced Min. Tech.		4	36	neg	neg	neg							PMV	PMVG	21	616				
Hecla	Lelande	Shoshone	ID	-115.814	47.520		"Vein, polymetallic, Coeur d' Alene"		Prichard-Burke Fms		1885	1898-1969	"7,686,967"	short t	"7,007"	"40,788,931"	"4,966,979"	"1,424,099,978"	"73,824,278"		"Mitchell and Bennett, 1983"												Hecla	"6,974"	0.22	"1,269"	2	646	33							PMV	PMVD	11	579				
Helena-Frisco	Lelande	Shoshone	ID	-115.850	47.510		"Vein, polymetallic, Coeur d' Alene"		Prichard-Burke Fms		1884	1897-1967	"2,676,379"	short t	"1,030"	"6,131,065"	"790,241"	"213,201,249"	"174,966,741"		"Mitchell and Bennett, 1983"												Asarco	"2,428"	0.03	191	neg	97	79							PMV	PMVD	15	583				
Hercules	Lelande	Shoshone	ID	-115.808	47.543		"Vein, polymetallic, Coeur d' Alene"		Prichard-Burke Fms		1889	1901-1965	"3,519,592"	short t	"5,564"	"29,952,537"	"3,760,660"	"767,345,172"	"9,616,058"		"Mitchell and Bennett, 1983"												Hecla	"3,193"	0.2	932	2	349	4							PMV	PMVD	03	571				
Hercules	Heath	Washington	ID	-116.860	44.770		"Vein, polymetallic, Coeur d' Alene, with Au and W"		Epithermal submarine veins and disseminations		1874	1881-1920			neg	neg	neg	neg	neg			1984	"4,500,000"	short t	unk	4.13	unk	unk	unk		AMH 1997 entry for Anglo-Bomarc Mines		Anglo-Bomarc - First Idaho Resources		neg	neg	neg	neg	neg	"4,100"	unk	578	unk	unk	unk	PMV	PMVD	27	595				
Iron Creek	Blackbird	Lemhi	ID	-114.115	44.962	24d	"Cu-Co, Blackbird type"	30b	"Sediment-hosted Cu, reduced facies"	Blackbird Co-Cu	1967		no		no	no	no	no	no				"32,000,000"	short t	unk	neg	0.52	no	no	0.52% Co	Randol 1996		Siskon Gold - Cominco	no	no	no	no	no	no	"29,000"	unk	neg	151	no	no	NONE	NONE	17	268			Yes	
Jack Waite	Eagle	"Shoshone
Sanders"	"ID
MT"	-115.744	47.668		"Vein, polymetallic, Coeur d' Alene"		Lower Prichard Fm		~1900	1929-1969	"693,149"	short t	"1,584"	"641,863"	"1,017,000"	"128,878,000"	"20,424,000"		"Mitchell and Bennett, 1983; USBM Production Data"												Jack Waite	629	neg	20	neg	58	9							PMV	PMVD	01	569				
Lucky Friday	Hunter	Shoshone	ID	-115.780	47.471		"Vein, polymetallic, Coeur d' Alene"		Revett-St Regis Fms		1889	1938-1996	"6,653,699"	short t	"50,741"	"104,266,200"	"21,324,000"	"1,413,386,000"	"169,088,000"		"Mitchell and Bennett, 1983; Bennett and Springer, 1991; Hecla 1991-96 SEC Form 10K"	1996	"576,900"	short t	unk	12.70	unk	13.50	2.60		Hecla 1996 SEC Form 10K	"Production includes 29,921 st ore from Gold Hunter mine in 1996."	Hecla	"6,036"	1.6	"3,243"	10	641	77	523	unk	228	unk	71	14	PMV	PMVD	25	593	Yes			Hecla SEC Form 10K
Mackinaw	Mackinaw	Lemhi	ID	-114.157	45.236	39a	Placer Au-PGE				1866	1866-1959			"258,000"	unk	no	no	no		"Koschmann and Bergendahl, 1968"														8	unk	no	no	no							PLAC	PLAC	27	492				
Mineral Point	Evolution	Shoshone	ID	-116.006	47.489		"Vein, polymetallic, Coeur d' Alene"		Revett-St Regis Fms		by 1892	1919-1952	"440,779"	short t	393	"5,859,581"	"10,011,481"	"127,162"	no		"Mitchell and Bennett, 1983"												Coeur d'Alene Mines	400	neg	182	5	neg	neg							PMV	PMVD	20	588				
Monitor	Beaver	Shoshone	ID	-115.887	47.544		"Vein, polymetallic, Coeur d' Alene"		Middle Prichard Fm		1885	1906-1977	"3,708,030"	short t	"2,178"	"4,210,670"	"3,138,200"	"205,472,651"	"401,256,743"		"Mitchell and Bennett, 1983"											"Includes Interstate-Callahan, Amazon, etc."	Hecla	"3,364"	neg	131	1	93	182							PMV	PMVD	02	570				
Murray No. 1	Couer d'Alene	Shoshone	ID	-115.917	47.617	39a	Placer Au-PGE				1879	1917-1926	"11,331,387"	cu yds	"62,118"	"11,722"	no	no	no		"USBM Mineral Yearbook, 1917-1926"											Production from dredge operations only.  Part of ground previously hydraulicked.			2	0.4	no	no	no							PLAC	PLAC	01	466				
Neal	Neal	Elmore	ID	-115.833	43.583	22c	"Vein, polymetallic, Au-Ag"		Idaho Batholith type	Polymetallic vein and replacement	1889	1889-1911	unk		"97,000"	unk	no	no	no		"Ross, 1941"														3	unk	neg	neg	neg							PMV	PMVG	20	615				
Page - Blackhawk	Yreka	Shoshone	ID	-116.201	47.528		"Vein, polymetallic, Coeur d' Alene"		Revett-St Regis Fms		1887	1916-1969	"4,521,461"	short t	"7,441"	"15,365,503"	"2,854,677"	"576,275,064"	"552,978,641"		"Mitchell and Bennett, 1983"												 	"4,102"	0.2	478	1	261	251							PMV	PMVD	06	574				
Pierce City (Orofino Creek)	Pierce City (Orofino Creek)	Clearwater	ID	-115.875	46.501	39a	Placer Au-PGE				1860	1860-1959			"385,000"	unk	no	no	no		"Bergendahl, 1964"														12	unk	no	no	no							PLAC	PLAC	18	483				
Polaris	Evolution	Shoshone	ID	-116.052	47.502		"Vein, polymetallic, Coeur d' Alene"		Revett-St Regis Fms		1884	1916-1943	"320,783"	short t	"1,265"	"7,368,759"	"2,197,222"	"3,682,640"	"29,718"		"Mitchell and Bennett, 1983"												 	291	0.04	229	1	2	neg							PMV	PMVD	18	586				
Red Ledge	Seven Devils	Adams	ID	-116.664	45.226	28a	"Massive sulfide, kuroko"		Submassive sulfide; stockwork; dissemination	Volcanic-associated massive sulfide	1890s		no		no	no	no	no	no		"Fifarek and others, 1994"	1992	"66,000,000"	metric t	0.44	19.5 to 22	0.35	no	0.6 to 0.8		"Fifarek and others, 1994"		Alta Gold	no	no	no	no	no	no	"66,000"	29	"1,285 to 1,452"	234	neg	399 to 507	KVMS	PC13	01	366				
Robinson Dyke	Dixie	Idaho	ID	-115.492	45.523		Unclassified				1904	1935-1936	"8,000"	short t	~500	unk	no	no	no		"Roberts, 1939"	1990	"1,970,000"	short t	0.03	unk	no	no	no			Canyon Resources 1990 SEC Form 10K	Canyon Resources	7	neg	unk	no	no	no	"1,790"	2	unk	no	no	no								
Rocky Bar	Rocky Bar	Elmore	ID	-115.299	43.694	22c	"Vein, polymetallic, Au-Ag"		Idaho Batholith type	Polymetallic vein and replacement	1862	1864-1882			"270,000"	unk	no	no	no		"Anderson, 1943"											 	 		8	unk	neg	neg	neg							PMV	PMVG	19	614				
Senator Stewart	Yreka	Shoshone	ID	-116.171	47.525		"Vein, polymetallic, Coeur d' Alene"		Revett-St Regis Fms		1892	1904-1951	"1,041,814"	short t	"1,513"	"6,610,160"	"480,106"	"150,925,283"	"323,888"		"Mitchell and Bennett, 1983"												 	945	neg	206	neg	68	neg							PMV	PMVD	08	576				
Sherman	Lelande	Shoshone	ID	-115.820	47.525		"Vein, polymetallic, Coeur d' Alene"		Prichard-Burke Fms		1890s	1927-1972	"661,071"	short t	"1,246"	"3,930,759"	"528,808"	"118,700,646"	"8,546,128"		"Mitchell and Bennett, 1983"												 	600	neg	122	neg	54	4							PMV	PMVD	07	575				
Sidney	Yreka	Shoshone	ID	-115.192	47.488		"Vein, polymetallic, Coeur d' Alene"		Middle Prichard Fm		1896	1921-1967	"1,071,197"	short t	"1,772"	"1,931,081"	"511,795"	"88,002,942"	"171,151,606"		"Mitchell and Bennett, 1983"												 	972	neg	60	neg	40	78							PMV	PMVD	22	590				
Silver Summit	Evolution	Shoshone	ID	-116.025	47.506		"Vein, polymetallic, Coeur d' Alene"		Revett-St Regis Fms		by 1920	1948-1969	"798,761"	short t	"2,275"	"19,932,835"	"9,997,506"	"147,555"	"119,200"		"Mitchell and Bennett, 1983"	1983	"52,505"	short t	unk	21.80	unk	no	no		Consolidated Silver 1983 SEC Form 10K		 	725	0.07	620	5	neg	neg	48	unk	36	unk	no	no	PMV	PMVD	16	584				
Snowstorm	Hunter	Shoshone	ID	-115.733	47.467	30b	"Sediment-hosted Cu, Revett"			Sediment-hosted Cu	by 1901	1904-1943	"826,580"	short t	"3,283"	"4,123,186"	"55,170,447"	no	no		"Mitchell and Bennett, 1983"										"E. Bennett, pers. commun., 1993"		 	750	neg	128	25	no	no		neg	138	26	no	no	SCU1	NR37	04	344				
South Fork Couer d'Alene River tailings	"Beaver, Evolution, Hunter, Lelande, Placer Center, Yreka"	Shoshone	ID	-115.980	47.508		Tailings				N/A	1910-1961	"6,805,779"	short t	"1,505"	"4,794,281"	"1,846,128"	"107,280,278"	"116,987,196"		"Mitchell and Bennett, 1983"													"6,174"	neg	149	1	49	53	unk	unk	sig	unk	sig	sig								
Standard - Mammoth	Lelande	Shoshone	ID	-115.836	47.519		"Vein, polymetallic, Coeur d' Alene"		Prichard-Burke Fms		1887	1887-1965	"3,763,893"	short t	"2,452"	"25,542,538"	"205,966"	"568,733,357"	"949,832"		"Mitchell and Bennett, 1983"												 	"3,415"	0.08	795	neg	258	neg							PMV	PMVD	12	580				
Star-Morning	Hunter	Shoshone	ID	-115.812	47.468		"Vein, polymetallic, Coeur d' Alene"		Revett-St Regis Fms		1884	1895-1990	"26,439,368"	short t	">18,141"	"73,078,060"	">8,356,221"	"3,471,796,000"	"3,324,146,000"		"Mitchell and Bennett, 1983; Bennett and Springer, 1991"												Hecla - New Bunker Hill	"23,985"	>0.6	"2,273"	4	"1,575"	"1,508"							PMV	PMVD	26	594				
Sunshine	Evolution	Shoshone	ID	-116.068	47.501		"Vein, polymetallic, Coeur d' Alene"		Revett-St Regis Fms		1884	1904-1996	"12,027,120"	short t	">7,263"	"340,860,969"	"103,371,656"	"139,671,091"	"8,668,646"	">46,054,774 lbs antimony"	"Mitchell and Bennett, 1983; Bennett and Springer, 1991; Sunshine SEC Form 10K, 1992-96"	1996	"1,600,000"	short t	unk	21.70	0.39	2.23	unk		Sunshine 1996 SEC Form 10K	Additional 179 million oz Ag in measured and inferred resources.	Sunshine	"10,911"	neg	"10,602"	47	63	4	">1,500"	unk	"6,647"	>6	>32	unk	PMV	PMVD	19	587	Yes			Sunshine SEC Form 10K
Tamarack & Custer	Placer Center	Shoshone	ID	-115.848	47.536		"Vein, polymetallic, Coeur d' Alene"		Prichard-Burke Fms		1888	1905-1977	"2,819,472"	short t	"3,511"	"8,753,391"	"2,036,427"	"338,308,629"	"156,417,665"		"Mitchell and Bennett, 1983"												Hecla	"2,558"	neg	272	1	153	71							PMV	PMVD	04	572				
Tenmile	Tenmile	Idaho	ID	-115.667	45.833	39a	Placer Au-PGE				1861	1861-1940			"97,000"	unk	no	no	no		"Bergendahl, 1964; Ross, 1941; Shenon and Reed, 1934"														3	unk	no	no	no							PLAC	PLAC	22	487				
Thunder Mountain	Thunder Mountain	Valley	ID	-115.142	44.958	25a	Hot-spring Au-Ag				1896	1896-1990	unk	short t	"151,000"	"256,000"	no	no	no		USMX 1995 SEC Form 10K	1995	"5,290,000"	short t	0.05	unk	no	no	no		USMX 1995 SEC Form 10K		USMX	unk	5	8	no	no	no	"4,799"	8	unk	no	no	no	HTSG	NR28	01	336		Being permitted		USMX SEC Form 10K
Tiger - Poorman	Lelande	Shoshone	ID	-115.813	47.523		"Vein, polymetallic, Coeur d' Alene"		Prichard-Burke Fms		1884	1901-1961	"1,128,793"	short t	1	"2,656,234"	"1,735"	"112,771,417"	"127,846"		"Mitchell and Bennett, 1983"												 	"1,024"	neg	83	neg	51	neg							PMV	PMVD	10	578				
Trade Dollar - Black Jack	De Lamar	Owyhee	ID	-116.743	43.009	25a	Hot-spring Au-Ag				1865	1865-1910	">109,397"	short t	"132,580"	"15,421,700"	no	no	no		"Piper and Laney, 1926"													>99	4	480	no	no	no														
Triumph	Warm Springs	Blaine	ID	-114.284	43.665	31a	Sedimentary  exhalative Zn-Pb	19a	Polymetallic replacement and veins	Polymetallic vein and replacement	1864	1916-1958	"1,747,134"	short t	"69,129"	"12,737,117"	"3,793,763"	"146,773,351"	"187,501,661"		"USBM Minerals Yearbooks 1916-58; USBM Production Data; Kiilsgaard, 1950"		"1,700,000"	short t	0.05	7.60	unk	4.00	5.30				Triumph Minerals	"1,585"	2	396	2	67	85	"1,500"	3	402	unk	62	82	SEDX	NR40	01	346				
War Eagle Project	French Carson	Owyhee	ID	-116.711	43.007	25c	"Epithermal vein, Comstock"	22c	"Vein, polymetallic, Au-Ag"	"Creede, Comstock and Sado epithermal vein"	1863	1863-1890			"154,000"	unk	no	no	no		"Piper and Laney, 1926"										"Randol, 1992"	 	War Eagle		5	unk	no	no	no		12	unk	no	no	no	QZAD	PC24	01	377				
Warren	Warren	Idaho	ID	-115.700	45.258	22c	"Vein, polymetallic, Au-Ag"		Idaho Batholith type	Polymetallic vein and replacement	1866	1866-1959			"94,000"	"58,000"	neg	neg	neg		"Reed, 1937; Bliss, 1994"											 	 		3	1.8	neg	neg	neg							PMV	PMVG	05	600				
Warren-Marshall	Warren-Marshall	Idaho	ID	-115.745	45.306	39a	Placer Au-PGE				1862	1862-1959			"807,000"	unk	no	no	no		"Koschmann and Bergendahl, 1968"														25	unk	no	no	no							PLAC	PLAC	26	491				
Yellow Jacket	Yellow Jacket	Lemhi	ID	-114.527	44.982	22c	"Vein, polymetallic, Cu-Pb-Au"			Polymetallic vein and replacement	1868	1902-1949	"9,000"	short t	"3,489"	"4,932"	"12,099"	"13,405"	"4,115"		"Fisher and others, 1995; Anderson, 1953"		"525,000"	short t	0.12	unk	no	no	no		Randol 1990		United States Antimony	8	0.1	0.2	neg	neg	neg	476	2.0	unk	no	no	no	PMV	PMVG	09	604	?			
Yellow Pine -Stibnite	Stibnite	Valley	ID	-115.332	44.927	22c	"Vein, polymetallic, Au-Ag-Sb-W"		Stockwork; disseminated Au-Ag	Polymetallic vein and replacement	1902	1932-1996	"13,747,000"	short t	"699,100"	"1,753,755"	neg	neg	neg	"831,829 units tungsten, 38,476 short t antimony"	"Cooper, 1951; Fisher and others, 1995; USBM Minerals Yearbook 1946-52; MinVen Gold 1989-92 SEC Form 10K; Dakota 1994-96 SEC Form 10K"	1996	"26,112,000"	short t	0.08	unk	no	no	no		Dakota Mining and Hecla 1996 SEC Form 10Ks	Resource is mostly refractory sulfide.	Dakota - Hecla	"12,471"	22	55	neg	neg	neg	"23,700"	63	unk	no	no	no	PMV	PMVG	"11
12"	"606
607"	Yellow Pine shut down 1996			Hecla SEC Form 10K; Dakota SEC Form 10K
Illinois-Kentucky	Illinois-Kentucky	"Pope, Hardin, Livingston, Crittenden"	"IL, KY"	-88.423	37.527	32	Mississippi Valley	32c	Mississippi Valley fluorite	Mississippi Valley-type Pb-Zn	1818	1902-1995	">23,400,000"	short t	no	"209,900"	"402,000"	"140,016,000"	"585,790,000"	">11,400,000 short t fluorspar"	"Grogan and Bradbury, 1968; USBM Minerals Yearbook and Production Data 1900-1995"									Cadmium			Ozark-Mahoning	">11,000"	no	7	neg	64	266		 	 	 	 	 	MVTD	GP05	07	210	Shut down			
Upper Mississippi Valley	Upper Mississippi Valley	"Lafayette, Grant, Green, Jo Daviess, Dubuque "	"IL, WI, IA"	-90.420	42.450	32	Mississippi Valley	32a	Southeast Missouri Pb-Zn	Mississippi Valley-type Pb-Zn	1600s	1800-1979	">60,000,000"	short t	no	"63,600"	"4,913,000"	"1,716,410,000"	"3,225,584,000"	"Pyrites, cadmium"	"Heyl, 1968; Heyl and others, 1959; USBM Minerals Yearbook and Production Data 1960-79"	1979	"3,717,000"	metric t	no	neg	neg	0.13	3.24	Cadmium	"Kilgore and others, 1983"	Resource at Shullsburg and Crawford-Elmo No. 3 mines.  Total resource unknown.		">54,000"	no	2	2	779	"1,463"	"3,717"	no	neg	neg	5	120	MVTD	GP05	01	204				
"Tri-state (Galena, Joplin, Picher)"	Tri-state	"Cherokee; Jasper, Newton, Lawrence; Ottowa"	"KS
MO
OK"	-94.650	37.083	32	Mississippi Valley	32a	Southeast Missouri Pb-Zn	Mississippi Valley-type Pb-Zn	by 1810	1850-1970	">402,588,300"	short t	no	no	no	"5,685,542,000"	"23,398,172,000"	"Cadmium, germanium"	"Martin, 1946; USBM Minerals Yearbooks 1946-1970"		"5,300,000"	short t	no	no	no	0.21	3.10	"Cadmium, germanium, gallium"	"Wharton and others, 1969"	"Production tonnage excludes 152,070,000 st reprocessed mill tailings. Resource for MO portion of district only."		">365,000"	no	no	no	"2,579"	"10,614"	"4,800"	no	no	no	10	149	MVTD	GP05	"10
09
11"	"213
212
214"				
