Deposit	District	County	State	Long	Lat	No.	Deposit Type	No.	Alternative deposit types	Environmental Model	Discovery Year	Production Dates	Production Tonnage	Tonnage Units	Production Gold oz	Production Silver oz	Production Copper lbs	Production Lead lbs	Production Zinc lbs	Other Production	"References:Production"	Resource Year	Resource Tonnage	Tonnage Units	Grade Au opt or gpt	Grade Ag opt or gpt	Grade Cu (%)	Grade Pb (%)	Grade Zn (%)	Other Grades	"References:Resources"	Comments	Operators	Tonnage thousand metric t	Au metric t	Ag metric t	Cu thousand metric t	Pb thousand metric t	Zn thousand metric t	Tonnage thousand metric t	Au metric t	Ag metric t	Cu thousand metric t	Pb thousand metric t	Zn thousand metric t	Nu Layer	Tract	Map No.	Seq. No.	Active Mine	"New Mine(date production will begin)"	Active Prospect	"Best Source(for updating)"
Fairbanks	Fairbanks	Fairbanks-North Star	AK	-146.500	64.917	39a	Placer Au-PGE				1878	1902-1955	"32,000,000"	cu yds	"8,022,434"	unk	no	no	no		"Bundtzen and others, 1996"													"29,000"	249.5	unk	no	no	no							AKPL	AK754	58					
Fairhaven	Fairhaven - Inmachuk	Northwest Arctic	AK	-161.667	65.750	39a	Placer Au-PGE				1902	1902-1995	unk		"453,000"	unk	no	no	no		"Cobb, 1973; Yeend and Shawe, 1989"											Significant reserves in a large ancestral river system.			14.1	unk	no	no	no		sig					AKPL	AK753	49					
Fort Knox	Fairbanks	Fairbanks-North Star	AK	-147.367	64.967		Porphyry Au				1913	1997-	"10,584,156"	short t	"320,522"	"15,958"	no	no	no		Amax Gold 1997 SEC Form 10K	1997	"307,773,000"	short t	0.02	unk	no	no	no		Amax Gold 1997 SEC Form 10K		Amax Gold	"9,602"	10	0.5	no	no	no	"279,207"	221	unk	no	no	no	AKPG	AK772	44			4Q 1996		Amax Gold SEC Form 10K
Fortymile	Fortymile	Southeast Fairbanks	AK	-142.000	64.333	39a	Placer Au-PGE				1883	1883-1995			"534,974"	unk	no	no	no		"Bundtzen and others, 1996"														16.6	unk	no	no	no							AKPL	AK754	59					
Golden Horn	Iditarod (Flat)	Yukon-Koyokuk	AK	-157.917	62.464		Porphyry Au	22c	"Vein, polymetallic"				528	short t	no	no	no	no	no	Tungsten	"Nokleberg and others, 1987"		"2,850,000"	metric t	1.20	3.4	no	no	no		"Bundtzen and Miller, 1997"			neg	no	no	no	no	no	"2,850"	3	10	no	no	no								
Golden Zone	Valdez Creek	Matanuska-Susitna	AK	-149.649	63.214		Unclassified		Breccia pipe		1909	1941-1942	"1,730"	short t	"1,581"	"8,617"	"42,000"	"3,000"	no		"Nokleberg and others, 1987; Mulligan and others, 1967"		"13,300,000"	short t	0.10	unk	unk	unk	unk		"Bundtzen and others, 1996"		Mines Trust - Addwest Minerals	2	0.05	0.3	neg	neg	no	"12,100"	39	unk	unk	unk	unk	AKPC  AKPV	AK518 AK566	42				Yes	
Goodnews Bay	Goodnews Bay	Bethel	AK	-161.000	59.000	39b	Placer PGE	39a	Placer Au-PGE		1926	1934-1976	unk		"30,000"	"3,800"	no	no	no	"641,000 oz platinum group metals"	"Bundtzen and Miller, 1997"		"60,000,000"	cu yds	unk	unk	no	no	no				Alaska Platinum - Calista - Corral Creek		0.9	0.1	no	no	no							AKPL	AK755	64			Idle		
Grant (Ester Dome)	Fairbanks	Fairbanks-North Star	AK	-147.957	64.882	36a	Low sulfide Au-quartz vein			Low sulfide Au-quartz vein	1929	1978-1989	"111,852"	short t	"11,215"	"8,231"	no	no	no		Silverado Mines 1996 SEC Form 10K	1993	"268,000"	short t	0.31	unk	no	no	no		Silverado Mines 1996 SEC Form 10K		Silverado Mines	101	0.4	0.3	no	no	no	243	2.6	unk	no	no	no	AKGQ	AK723	13			Plan to reopen	Yes	Silverado SEC Form 10K; www.silverado.com
Greens Creek	Juneau - Admiralty	Skagway-Yakutat-Angoon	AK	-134.619	58.077	28a	"Massive sulfide, kuroko"			Volcanic-associated massive sulfide	1975	1989-1996	"1,776,500"	short t	"149,000"	"31,875,200"	unk	"138,774,000"	"325,264,000"		Hecla 1989-96 SEC Form 10K	1996	"8,896,000"	short t	0.15	19.5	unk	4.6	12.6		Hecla 1996 SEC Form 10K		Kennecott - Hecla	"1,612"	4.6	991.4	unk	63	148	"8,070"	42	"5,396"	unk	371	"1,017"	AKKU	AK667	32		Yes	Reopened 1996		Hecla SEC Form 10K; Rio Tinto SEC Form 20F
Hope	Hope - Sunrise - Seward	Kenai Peninsula	AK	-149.500	61.167	39a	Placer Au-PGE				1848	1848-1961			"100,000"	unk	no	no	no		"Nokleberg and others, 1987"											Estimated production.			3.1	unk	no	no	no							AKPL	AK756	67					
