State,County,Claims,Latitude,Longitude,MTRS
California,Del Norte,4,41.9812830600001,-123.596992469,15 0180N 0050E 002
California,Del Norte,2,41.994329625,-123.597235769,15 0190N 0050E 035
California,El Dorado,1,38.574836047000105,-120.67843610799999,21 0080N 0120E 005
California,El Dorado,1,38.546284588,-120.45362889399999,21 0080N 0140E 017
California,El Dorado,1,38.5469054440001,-120.472690105,21 0080N 0140E 018
California,El Dorado,1,38.532089093,-120.453848887,21 0080N 0140E 020
California,El Dorado,1,38.6626192590001,-120.80712497100001,21 0090N 0110E 006
California,El Dorado,1,38.648471955,-120.80689823899999,21 0090N 0110E 007
California,El Dorado,2,38.647840921000096,-120.713741939,21 0090N 0110E 012
California,El Dorado,2,38.634156467,-120.769154859,21 0090N 0110E 016
California,El Dorado,2,38.619395137,-120.806941814,21 0090N 0110E 019
California,El Dorado,1,38.619091349,-120.713811455,21 0090N 0110E 024
California,El Dorado,2,38.604989043,-120.75072902299999,21 0090N 0110E 027
California,El Dorado,1,38.6050804860001,-120.76913747399999,21 0090N 0110E 028
California,El Dorado,2,38.661901018,-120.657778332,21 0090N 0120E 004
California,El Dorado,2,38.6619252570001,-120.67612011899999,21 0090N 0120E 005
California,El Dorado,1,38.633224348000105,-120.676666785,21 0090N 0120E 017
California,El Dorado,1,38.633520344000004,-120.695246439,21 0090N 0120E 018
California,El Dorado,1,38.6190122950001,-120.69539793,21 0090N 0120E 019
California,El Dorado,1,38.617543293000004,-120.622029779,21 0090N 0120E 023
California,El Dorado,1,38.6027493140001,-120.60387052600001,21 0090N 0120E 025
California,El Dorado,2,38.6031416870001,-120.62251253299999,21 0090N 0120E 026
California,El Dorado,1,38.663537353,-120.50691254899999,21 0090N 0130E 002
California,El Dorado,4,38.6632364390001,-120.525604106,21 0090N 0130E 003
California,El Dorado,5,38.662977213000005,-120.544310536,21 0090N 0130E 004
California,El Dorado,2,38.661491801000096,-120.56515039700001,21 0090N 0130E 005
California,El Dorado,2,38.649543884,-120.50730278,21 0090N 0130E 011
California,El Dorado,1,38.648579671,-120.48892122299999,21 0090N 0130E 012
California,El Dorado,1,38.634189206,-120.48912499,21 0090N 0130E 013
California,El Dorado,3,38.634847533,-120.50763967200001,21 0090N 0130E 014
California,El Dorado,3,38.6355160460001,-120.52627644200001,21 0090N 0130E 015
California,El Dorado,1,38.620005303,-120.58391874,21 0090N 0130E 019
California,El Dorado,3,38.621261443,-120.56426869200001,21 0090N 0130E 020
California,El Dorado,4,38.621137788000105,-120.545549569,21 0090N 0130E 021
California,El Dorado,1,38.6210613330001,-120.5270152,21 0090N 0130E 022
California,El Dorado,3,38.6067800960001,-120.545939476,21 0090N 0130E 028
California,El Dorado,3,38.6070201700001,-120.564593466,21 0090N 0130E 029
California,El Dorado,1,38.6052929310001,-120.584088559,21 0090N 0130E 030
