Mine,County,Elevation,Commodity,Latitude,Longitude,MRDS
Zelma Bell,Placer,1601 Feet,Gold,39.0442,-120.90640,10285893
Red Ink Maid Mine,Placer,na,Gold,39.0178,-120.76280,10212823
Virtle,Placer,2598 Feet,Gold,39.0747,-120.83440,10285918
Ross Property,Placer,226 Feet,Gold,38.9783,-121.29060,10188734
Ard Bell,Placer,801 Feet,Gold,38.8772,-121.14390,10213271
Morning Star,Placer,na,Gold,39.1036,-120.83440,10212750
Doherty,Placer,2799 Feet,Gold,39.02083,-120.79250,10034876
Middle Fork American River,Placer,na,Gold,38.956,-120.87100,10030112
Sharp Stick Mine,Placer,4439 Feet,Gold,39.1178,-120.61920,10139940
Unnamed Location,Placer,1519 Feet,Gold,39.0319,-120.71140,10236801
Booth River,Placer,2398 Feet,Gold,39.1203,-120.87110,10163977
Three Stars,Placer,699 Feet,Gold,38.9203,-121.16250,10285636
St George,Placer,2841 Feet,Gold,39.0164,-120.85780,10237381
Blue Wing,Placer,2799 Feet,Gold,39.125,-120.85000,10034865
American River Gold Mng Co,Placer,1201 Feet,Gold,38.9642,-120.94220,10188513
Mc Kinley Mine,Placer,4610 Feet,Gold,39.0514,-120.59080,10286175
Unnamed Location,Placer,3520 Feet,Gold,39.0911,-120.71280,10286020
Brunn,Placer,3399 Feet,Gold,39.1069,-120.84580,10286252
Rising Sun Mine,Placer,2297 Feet,Gold,39.10694,-120.96833,10310716
Arkansas Traveler,Placer,1801 Feet,Gold,39.1408,-120.84420,10261772
Gold Streak,Placer,3442 Feet,Gold,39.0864,-120.81780,10188498
El Dorado,Placer,801 Feet,Gold,38.9392,-120.93830,10164592
Buckeye Bar,Placer,801 Feet,Gold,38.9319,-120.97530,10285755
Dredged Area,Placer,679 Feet,Gold,38.9369,-120.94330,10236782
Dayton Mine,Placer,2999 Feet,Gold,39.1181,-120.83390,10189087
Live Oak,Placer,2999 Feet,Gold,39.1178,-120.83580,10285710
Carey,Placer,2999 Feet,Gold,39.1181,-120.83330,10261402
Unnamed Location,Placer,3199 Feet,Gold,39.1192,-120.83670,10237424
Strawberry,Placer,3159 Feet,Gold,39.1239,-120.82780,10212765
Stockton,Placer,3520 Feet,Gold,39.1181,-120.81640,10236850
Sniper's Retreat,Placer,2001 Feet,Gold,39.0467,-120.89720,10140070
Bonanza Mine,Placer,3199 Feet,Gold,39.15889,-120.70722,10034864
Golden Chief Mine,Placer,3301 Feet,Gold,39.04,-120.74440,10188892
Farnier,Placer,1601 Feet,Gold,38.9742,-120.85860,10286206
Garden Springs Consolidated,Placer,2598 Feet,Gold,38.9911,-120.89530,10285830
Glencoe,Placer,2999 Feet,Gold,39.1328,-120.83580,10237462
Chicago,Placer,6201 Feet,Gold,39.2094,-120.42500,10115652
Peckham Hill Gold Mines Inc,Placer,2520 Feet,Gold,38.98639,-120.89222,10110883
Rainbow Land Mine,Placer,1919 Feet,Gold,39.0514,-120.70720,10285573
Eastman Mine,Placer,1801 Feet,Gold,39.0444,-120.70530,10285735
Red Hill & Van Emon,Placer,3360 Feet,Gold,39.0383,-120.73000,10212699
Daniel Webster Mine,Placer,3438 Feet,Gold,39.0517,-120.72670,10115602
Golden Gate Mine,Placer,3799 Feet,Gold,39.0517,-120.73140,10261432
Burns,Placer,3399 Feet,Gold,39.0439,-120.72860,10140344
Gorman,Placer,3261 Feet,Gold,39.0325,-120.74690,10261433
Dharma,Placer,3501 Feet,Gold,39.0433,-120.73690,10237452
Golden Reward Group,Placer,6401 Feet,Gold,39.1867,-120.54940,10139799
Monumental,Placer,6401 Feet,Gold,39.1828,-120.53030,10115648
Marguerite,Placer,1460 Feet,Gold,38.9208,-121.06890,10164085
Oakwood Placer Mining Co,Placer,226 Feet,Gold,38.9619,-121.27390,10236761
Dredged Area,Placer,174 Feet,Gold,38.9728,-121.30500,10115679
C N Chittenden Lease,Placer,200 Feet,Gold,38.9775,-121.30110,10140393
Black Hawk Mine,Placer,2159 Feet,Gold,39.1806,-120.72970,10140010
El Dorado Hill Mine,Placer,3340 Feet,Gold,39.0506,-120.71750,10285620
Big Gun Thompson & Powell,Placer,3399 Feet,Gold,39.0458,-120.72780,10188717
Turkey Hill Cons,Placer,3681 Feet,Gold,39.0678,-120.73610,10164544
Hermit,Placer,3579 Feet,Gold,39.0881,-120.71920,10188550
Elkhorn,Placer,3799 Feet,Gold,39.0881,-120.68560,10237481
California Morning Star,Placer,2920 Feet,Gold,39.0992,-120.85580,10261239
Erie,Placer,2441 Feet,Gold,39.1228,-120.92000,10236922
Santa Fe,Placer,1801 Feet,Gold,39.1414,-120.84390,10116150
Prospect,Placer,3041 Feet,Gold,39.015,-120.80440,10189188
Unnamed Location,Placer,1001 Feet,Gold,39.0019,-120.80750,10188830
Unnamed Placer,Placer,2051 Feet,Gold,39.1786,-120.72640,10261701
Rising Sun,Placer,2359 Feet,Gold,39.1072,-120.96890,10237180
Little Ginger,Placer,2001 Feet,Gold,39.1078,-120.97610,10115849
Big Oak Tree Quartz,Placer,2241 Feet,Gold,39.1044,-120.97190,10115898
Evening Star,Placer,2201 Feet,Gold,39.1242,-120.95720,10115576
Unnamed Mine,Placer,2598 Feet,Gold,39.1122,-120.95360,10139879
Dairy Farm Trent Vantrent,Placer,na,Copper Gold,39.03083,-121.28806,10032007
Little Banner Mine,Placer,1401 Feet,Gold,38.8747,-121.07250,10115812
Eureka Tunnel,Placer,4160 Feet,Gold,39.1283,-120.68190,10285993
California & Virginia,Placer,1060 Feet,Gold,39.0094,-120.77000,10285764
Blue Jay,Placer,2201 Feet,Gold,39.0144,-120.77830,10164707
Sellier,Placer,1801 Feet,Gold,39.0131,-120.78920,10261930
West Quartz Claim,Placer,2398 Feet,Gold,39.0203,-120.78280,10285682
Rio Del Oro,Placer,2799 Feet,Gold,39.01389,-120.80278,10077013
Baltimore,Placer,2959 Feet,Gold,39.01361,-120.82000,10077010
Wolverine,Placer,2999 Feet,Gold,39.1183,-120.83670,10140104
Star United,Placer,2999 Feet,Gold,39.1144,-120.83530,10116129
Unnamed Location,Placer,1499 Feet,Gold,38.9267,-121.02670,10261973
Lundquist,Placer,1201 Feet,Gold,38.8847,-121.07890,10115559
Major,Placer,1201 Feet,Gold,38.8844,-121.07920,10188516
Lost Camp Hydraulic Mine,Placer,4259 Feet,Gold,39.2392,-120.71330,10188814
Unnamed Prospect,Placer,1201 Feet,Gold,38.8844,-121.07830,10261634
Gold PlacersInc,Placer,1201 Feet,Gold,38.8833,-121.07920,10115553
Gold Recoveries Corp,Placer,1201 Feet,Gold,38.8836,-121.07920,10286056
Unnamed Dredge,Placer,361 Feet,Gold,38.7681,-121.11940,10236708
Kelly,Placer,400 Feet,Gold,38.8197,-121.10810,10164482
Canothos,Placer,2999 Feet,Gold,39.045,-120.81830,10164128
Live Oak,Placer,2201 Feet,Gold,39.0472,-120.87390,10213096
Giant Gap Claim,Placer,3999 Feet,Gold,39.1486,-120.79360,10261812
North Fork American River,Placer,1601 Feet,Gold,39.1603,-121.82140,10116248
Number Two,Placer,2999 Feet,Gold,39.1619,-121.83640,10237200
Secret Town,Placer,2999 Feet,Gold,39.1614,-121.83580,10189199
Lindquist Claim,Placer,1001 Feet,Gold,38.8886,-121.09500,10212723
Donna's Stake,Placer,3199 Feet,Gold,39.0214,-120.81940,10237146
California,Placer,1138 Feet,Gold,38.8856,-121.09440,10237125
Stewart Mine,Placer,3442 Feet,Gold,39.2008,-120.82170,10212740
Butts Mine,Placer,1260 Feet,Gold,38.88222,-121.08750,10007720
Iron Quartz,Placer,2402 Feet,Gold,39.0603,-120.83690,10212981
Deerhorn,Placer,2598 Feet,Gold,38.9917,-120.69940,10236831
Rubicon,Placer,2598 Feet,Gold,38.9908,-120.69860,10261706
Twenty-One,Placer,2598 Feet,Gold,39.0825,-120.83580,10115653
Effie,Placer,2402 Feet,Gold,39.0175,-120.89830,10164018
Mollie,Placer,1201 Feet,Gold,38.8775,-121.08860,10115591
Adams,Placer,1001 Feet,Gold,38.8761,-121.10780,10188923
Boulder,Placer,741 Feet,Gold,38.8881,-121.12530,10261742
Quartz Claim 88,Placer,801 Feet,Gold,38.885,-121.13250,10188569
Unnamed Location,Placer,1339 Feet,Gold,38.9094,-121.07470,10237063
Bouck Property,Placer,1401 Feet,Gold,38.9067,-121.08670,10237473
Spanish Mine,Placer,3199 Feet,Gold,39.02583,-120.67917,10034906
Patrick Cons.,Placer,4800 Feet,Gold,39.15806,-120.62056,10034898
Garbe and De Maria Mine,Placer,2480 Feet,Gold,38.99583,-120.90028,10034882
Belvoir Mine,Placer,801 Feet,Gold,38.89583,-121.12139,10034855
Reciprocity,Placer,594 Feet,Gold,38.90306,-121.16806,10101335
Unnamed Placer,Placer,541 Feet,Gold,38.8189,-121.10810,10213175
Welcome Consolidated,Placer,2598 Feet,Gold,39.0714,-120.88530,10164004
Doherty,Placer,2720 Feet,Gold,39.0203,-120.79170,10164635
Lehigh,Placer,2598 Feet,Gold,39.0292,-120.78640,10285952
Doherty Prospect,Placer,2799 Feet,Gold,39.0228,-120.79220,10116139
Paragon Prospect,Placer,2799 Feet,Gold,39.0289,-120.78190,10212684
Prospect,Placer,3419 Feet,Gold,39.0303,-120.76970,10236967
Hoffman Pit,Placer,3120 Feet,Gold,39.0258,-120.74890,10115891
Stewart Gravel Mines,Placer,2799 Feet,Gold,39.1631,-120.84720,10286249
Shaw Brothers Mine,Placer,3999 Feet,Gold,39.1744,-120.80420,10164020
Gold Ring,Placer,3199 Feet,Gold,39.1839,-120.79860,10115876
Maria No. 2,Placer,2280 Feet,Gold,38.9739,-120.89970,10116189
Peckham Hill Gold Mines Inc,Placer,2520 Feet,Gold,38.9864,-120.89220,10115759
De Maria Mine,Placer,2598 Feet,Gold,39.0239,-120.77500,10261540
Hosmer,Placer,2480 Feet,Gold,39.0047,-120.89440,10261537
Unnamed Dredge Tailings,Placer,1099 Feet,Gold,38.9492,-121.14420,10285679
Crosby Mine,Placer,361 Feet,Gold,38.9561,-121.24440,10236933
Bobtail Prospect,Placer,600 Feet,Gold,38.9772,-121.23720,10285742
Paragon,Placer,2920 Feet,Gold,39.03222,-120.78833,10110857
Bisbee,Placer,1801 Feet,Gold,38.9592,-120.90110,10115981
Bowman,Placer,2090 Feet,Gold,38.9689,-120.90640,10213146
Adams,Placer,1050 Feet,Gold,38.88722,-121.11194,10101354
Britt Mine,Placer,3081 Feet,Gold,39.0247,-120.74890,10189135
Unnamed Location,Placer,184 Feet,Gold,38.9792,-121.27280,10116258
Washburn Mine,Placer,3199 Feet,Gold,39.0306,-120.74670,10188610
Burroughs Tunnel & Burroughs Pit,Placer,3159 Feet,Gold,39.0297,-120.74610,10164465
Tigar Mine,Placer,2201 Feet,Gold,39.03361,-120.93083,10101363
Kings Hill Quartz,Placer,2799 Feet,Gold,39.0753,-120.87530,10261685
Elizabeth Hill,Placer,2799 Feet,Gold,39.0867,-120.86970,10140404
Gleeson Diggings,Placer,2680 Feet,Gold,39.0811,-120.85140,10140329
Iowa Hill,Placer,2999 Feet,Gold,39.0308,-120.82940,10115541
Russel Mine,Placer,3159 Feet,Gold,39.0314,-120.74610,10237218
Bower Mine,Placer,3179 Feet,Gold,39.0319,-120.74580,10140383
Mary Anna Mine,Placer,1519 Feet,Gold,39.0364,-120.71140,10212555
Anna Sue Mine,Placer,1900 Feet,Gold,39.0428,-120.70720,10116144
Unnamed Pit,Placer,1880 Feet,Gold,39.0472,-120.70580,10164461
Dragon & Carr,Placer,3199 Feet,Gold,39.1842,-120.79670,10115938
Mcanany,Placer,659 Feet,Gold,38.8494,-121.14140,10115961
Owl Creek,Placer,2398 Feet,Gold,39.0189,-120.89830,10140038
Whiskey Tunnel,Placer,1001 Feet,Gold,39.0361,-120.91000,10116092
Dredged Area,Placer,164 Feet,Gold,38.8825,-121.27810,10163983
Georgia Hill Mines,Placer,2598 Feet,Gold,39.0169,-120.87470,10188997
Gladding Ranch,Placer,151 Feet,Gold,38.9483,-121.32580,10140021
Booth,Placer,1201 Feet,Gold,38.8958,-121.09220,10261778
Golden Rule,Placer,1201 Feet,Gold,38.9022,-120.10690,10115751
Muir Mine,Placer,3379 Feet,Gold,39.0408,-120.74080,10261345
Washington Mine,Placer,3340 Feet,Gold,39.0389,-120.74690,10189052
Lightfoot Tunnel,Placer,3340 Feet,Gold,39.04,-120.74580,10163975
Beehive Mine,Placer,3671 Feet,Gold,39.0458,-120.74310,10212621
Lightfoot Pit,Placer,3419 Feet,Gold,39.0439,-120.74670,10189013
Moss Ledge,Placer,3120 Feet,Gold,39.0194,-120.80640,10164499
Maus Tunnel,Placer,2598 Feet,Gold,39.0169,-120.79810,10212872
Independent,Placer,2799 Feet,Gold,39.0144,-120.80860,10213009
Blanche,Placer,3199 Feet,Gold,39.0292,-120.76560,10188891
Unidentified Mine,Placer,na,Gold,38.97639,-120.95556,10032079
Guggenheim Dredge,Placer,na,Gold,38.9711,-120.96905,10032075
Pear Tree and Necessity,Placer,na,Gold,39.00528,-120.93694,10032073
Gladding Ranch,Placer,na,Gold,38.97015,-121.30273,10032001
Baltimore,Placer,2959 Feet,Gold,39.0136,-120.82000,10164511
Spanish,Placer,3120 Feet,Gold,39.0153,-120.80330,10188801
Dewey & Stocker,Placer,3320 Feet,Gold,39.0294,-120.80190,10140338
Pioneer Slope,Placer,3360 Feet,Gold,39.0283,-120.80330,10164528
Florida & Tilton,Placer,3360 Feet,Gold,39.0281,-120.80250,10164468
Small Hope,Placer,2641 Feet,Gold,39.0328,-120.83890,10237408
Peachy Cons,Placer,961 Feet,Gold,38.9019,-121.12690,10212654
Gold Hill Dredging Co,Placer,541 Feet,Gold,38.8042,-121.15420,10236950
Bear River Chrome Mine,Placer,3599 Feet,Gold,39.24306,-120.78444,10077062
Dredge Tailings,Placer,226 Feet,Gold,38.9058,-121.25560,10140174
Unnamed Location,Placer,1001 Feet,Gold,39.0417,-120.90250,10237171
Blue Canyon,Placer,5000 Feet,Gold,39.2606,-120.70530,10158703
Indiana Hill,Placer,3041 Feet,Gold,39.1636,-120.85310,10164223
Gold Run,Placer,3199 Feet,Gold,39.1842,-120.85440,10213064
San Francisco,Placer,2799 Feet,Gold,39.0217,-120.85670,10212992
Missouri,Placer,2999 Feet,Gold,39.0172,-120.85000,10188745
Dorr,Placer,2841 Feet,Gold,39.0164,-120.85860,10212965
Dow,Placer,2841 Feet,Gold,39.0172,-120.85830,10236770
Armbruster,Placer,2799 Feet,Gold,39.0175,-120.86060,10140283
Anthony Clark Tunnels,Placer,2799 Feet,Gold,39.0169,-120.86000,10188926
Buchanan,Placer,2641 Feet,Gold,39.0175,-120.86940,10164236
Pleasant Bar,Placer,2201 Feet,Gold,39.0158,-120.75110,10164174
American Bar Quartz,Placer,1201 Feet,Gold,39.0089,-120.74720,10285600
Monumental,Placer,6401 Feet,Gold,39.18278,-120.53028,10077070
Hope,Placer,1142 Feet,Gold,38.8925,-121.10083,10101350
Australian Mine,Placer,3199 Feet,Gold,39.11611,-120.79778,10034853
North Fork & Bear River,Placer,3199 Feet,Gold,39.185,-120.85440,10236836
Specimen Pit,Placer,3419 Feet,Gold,39.0422,-120.74830,10256088
Buckeye Pit,Placer,3340 Feet,Gold,39.0403,-120.74670,10140341
Keokuk,Placer,3320 Feet,Gold,39.0392,-120.74500,10188845
Wills,Placer,3481 Feet,Gold,39.0461,-120.74560,10188659
Oro & Mtn View,Placer,3720 Feet,Gold,39.1458,-120.81670,10213256
Sunset & Riverside,Placer,3720 Feet,Gold,39.1472,-121.81560,10261781
Moore Mine,Placer,1001 Feet,Gold,38.8922,-121.10030,10213190
Rocky Ridge Claim,Placer,899 Feet,Gold,38.8944,-121.10970,10188493
Eclipse Consolidated,Placer,899 Feet,Gold,38.8944,-121.11140,10213204
Mountain Tunnel,Placer,na,Gold,39.00252,-120.86041,10092495
Belle Union,Placer,2001 Feet,Gold,39.01972,-120.93694,10092491
Ladies Canyon,Placer,1801 Feet,Gold,39.0144,-120.78860,10261957
Kittler Cons,Placer,1001 Feet,Gold,38.9039,-121.12420,10140305
Pegasus Mine,Placer,2999 Feet,Gold,39.0128,-120.84220,10140134
El Dorado Mine,Placer,3005 Feet,Gold,39.0228,-120.82860,10188514
New Baccarat,Placer,164 Feet,Gold,38.8756,-121.27360,10164513
Gold Leaf Claim,Placer,899 Feet,Gold,38.8928,-121.10920,10286038
Good Hope Claim,Placer,801 Feet,Gold,38.8928,-121.11390,10115919
Liberty,Placer,5141 Feet,Gold,39.11417,-120.44972,10034891
Bunker and Nihill,Placer,2900 Feet,Gold,39.02083,-120.76778,10034869
Blue Jay,Placer,2001 Feet,Gold,39.02167,-120.67139,10034863
Unnamed Placer,Placer,240 Feet,Gold,38.715,-121.14360,10236698
Oroville Dredging Co,Placer,600 Feet,Gold,39.0217,-121.23610,10188449
Unnamed Mine,Placer,459 Feet,Gold,38.9494,-121.19860,10213127
Prospects 2,Placer,na,Gold,39.00528,-120.80722,10092494
Unidentified Workings,Placer,na,Gold,39.05781,-120.97106,10092489
Gourge Queen,Placer,1880 Feet,Gold,39.1806,-120.76810,10116047
Dredged Area,Placer,na,Gold,38.8755,-121.27501,10031999
Volo,Placer,na,Gold,39.06027,-120.71019,10031991
Rublin Mine,Placer,4081 Feet,Gold,39.10028,-120.63750,10086487
Shady Run,Placer,2700 Feet,Gold,39.21667,-120.73556,10086485
Dorer,Placer,4016 Feet,Lead Gold,39.1825,-120.72111,10086482
Homestake,Placer,1601 Feet,Gold,39.0122,-120.78780,10237093
Southern Cross,Placer,23999 Feet,Gold,39.17778,-120.73222,10086484
Unnamed,Placer,3199 Feet,Gold,39.02,-120.80194,10034911
Bear River,Placer,3199 Feet,Gold,39.1861,-120.85420,10286070
Blue Devil Diggings,Placer,2999 Feet,Gold,39.1931,-120.84690,10285771
Moody Ridge,Placer,3199 Feet,Gold,39.1631,-120.83440,10285711
Nicholls Estate Company,Placer,3199 Feet,Gold,39.1622,-120.85440,10261908
Comet,Placer,3199 Feet,Gold,39.1875,-120.84640,10237040
Unnamed Location,Placer,3199 Feet,Gold,39.1922,-120.84390,10213269
Dutch Flat Blue Lead,Placer,3199 Feet,Gold,39.1839,-120.83560,10261740
Cedar Creek,Placer,3199 Feet,Gold,39.1844,-120.83500,10212630
Butcher Boy,Placer,919 Feet,Gold,38.8967,-121.10440,10140414
Conrad Mine,Placer,1099 Feet,Gold,38.8864,-121.10140,10164536
E Ext Shurtleff,Placer,1201 Feet,Gold,38.8942,-121.09310,10236759
Oro Fino & Floyd Claims,Placer,1099 Feet,Gold,38.8889,-121.08530,10261702
Malmberg,Placer,1001 Feet,Gold,38.8908,-121.08920,10212957
R. H. Lee Claim,Placer,899 Feet,Gold,38.89194,-121.10222,10101352
Good Hope,Placer,801 Feet,Gold,38.89167,-121.11528,10101351
Hill Claim,Placer,840 Feet,Gold,38.8936,-121.11170,10189228
New Era Brush Fence Mines,Placer,860 Feet,Gold,38.8881,-121.10920,10164349
Big Oak Tree Quartz,Placer,2300 Feet,Gold,39.1025,-120.97972,10007742
Big Pine Mine,Placer,1079 Feet,Gold,38.88861,-121.08500,10007703
Golden Rule,Placer,679 Feet,Gold,38.80389,-121.11250,10007689
Grass Ravine and Workman,Placer,771 Feet,Gold,38.90667,-121.15056,10007683
Gold Blossom,Placer,850 Feet,Gold Silver,38.90306,-121.13778,10007681
Lambert & Rhodes Karl Albert Plate Emmet Henery Gladie.,Placer,541 Feet,Gold,38.90306,-121.16861,10007678
Christmas Hill,Placer,1801 Feet,Gold,38.94694,-120.94722,10007730
Pine Tree,Placer,1070 Feet,Gold,38.88472,-121.09778,10007706
Bear River Tunnel,Placer,na,Gold,39.16417,-120.91833,10032094
Oro Fino and Floyd Claims,Placer,na,Gold,38.88972,-121.08528,10032059
Belle Union,Placer,2001 Feet,Gold,39.01778,-120.94056,10007740
Mollie,Placer,1181 Feet,Gold,38.87944,-121.08972,10007719
Gold Placers Inc.,Placer,na,Gold,38.88413,-121.08119,10032051
Alameda,Placer,1401 Feet,Gold,39.03222,-120.91639,10034851
Red Point,Placer,3760 Feet,Gold,39.15056,-120.71806,10110864
Southern Cross,Placer,3199 Feet,Gold,39.20972,-120.83583,10110853
Watts Prospect,Placer,3599 Feet,Gold,39.11639,-120.81722,10110849
West Quartz,Placer,2001 Feet,Gold,39.01528,-120.79000,10034914
Suckers Revenge,Placer,2260 Feet,Gold,39.18417,-120.71389,10034907
Black Canyon,Placer,4800 Feet,Gold,39.16611,-120.61444,10034859
Laird Gravel Mine.,Placer,na,Gold,38.8075,-121.16667,10109293
La Trinidad,Placer,6001 Feet,Gold,39.20167,-120.49472,10086489
Red Ravine Placer Claim,Placer,na,Gold,38.88972,-121.14083,10032036
Golden Arcadia,Placer,na,Gold,38.89,-121.09111,10032058
Auburn,Placer,4501 Feet,Gold,39.15167,-120.64667,10034850
C.N.Chittenden Lease,Placer,na,Gold,38.97751,-121.31217,10032004
Pay Day No 1 Prospect,Placer,4199 Feet,Gold,39.07556,-120.50583,10077068
New Baccarat,Placer,na,Gold,38.875,-121.27056,10032000
Bear River Ext. Patented,Placer,na,Gold,39.15,-120.93694,10092492
Unknown,Placer,na,Gold,39.04861,-121.01111,10092490
Duffy Property,Placer,na,Gold,39.06027,-120.71019,10032100
Calif. Chief Development Co.,Placer,na,Gold,39.00528,-120.91833,10032071
Salig Mine Patented,Placer,1299 Feet,Gold Silver,38.91861,-121.06667,10032053
Unidentified Workings,Placer,na,Gold,38.90573,-121.08947,10032052
Eagle,Placer,2700 Feet,Gold,39.18417,-120.71389,10034878
Lafollette,Placer,5928 Feet,Gold,39.165,-120.55722,10103123
Swift Shore Mine,Placer,4281 Feet,Gold,39.10167,-120.71500,10110874
Great Crevis,Placer,na,Gold,38.91861,-121.01111,10092050
Doherty Prospect,Placer,2799 Feet,Gold,39.03444,-120.78056,10103116
Debb Mine,Placer,3848 Feet,Gold,39.16944,-120.74000,10103115
Black Oak,Placer,1877 Feet,Gold,39.01694,-120.94278,10101364
Bree,Placer,2799 Feet,Gold,39.17306,-120.71389,10034867
Theniss & Adams,Placer,1201 Feet,Gold,39.09194,-120.91833,10109298
American Bar,Placer,1801 Feet,Gold,39.01278,-120.75472,10034852
Salsic,Placer,1299 Feet,Gold,38.91361,-121.07222,10007690
North Star,Placer,1601 Feet,Gold,38.96306,-120.96417,10007728
Black Jack Claim,Placer,942 Feet,Gold,38.90333,-121.12806,10007694
White Cloud Claim,Placer,761 Feet,Gold,38.905,-121.15028,10007680
Mc Geechin Placer Gold Mng Co,Placer,2402 Feet,Gold,39.07611,-120.85333,10077023
Hinchy,Placer,2159 Feet,Gold,39.03639,-120.92389,10007736
Golden Rule Lucky Hilltop Ward Claims,Placer,1240 Feet,Gold,38.90222,-121.11444,10007700
Green Mine,Placer,1152 Feet,Gold,38.90167,-121.11167,10007699
Ruby,Placer,2201 Feet,Gold,39.03722,-120.92889,10007737
Park & Brown,Placer,6119 Feet,Gold,39.13444,-120.52139,10077072
Hard Climb Prospect,Placer,5200 Feet,Gold,39.08639,-120.52389,10077066
Sisley Mine,Placer,761 Feet,Gold,38.8639,-121.15750,10164501
Lambert & Rhodes,Placer,659 Feet,Gold,38.9092,-121.16670,10213227
Home Ticket Drift Mine,Placer,4531 Feet,Gold,39.11,-120.61444,10077065
Number Two Mine,Placer,2874 Feet,Gold,39.16278,-120.84139,10034896
Hermit,Placer,5499 Feet,Gold,39.12722,-120.56361,10034887
Fall Ravine,Placer,6001 Feet,Gold,39.14111,-120.48528,10034880
E M Kaufield,Placer,226 Feet,Gold,38.90639,-121.26000,10076998
Baker Divide,Placer,3199 Feet,Gold,39.04806,-120.77111,10110859
Unnamed Location,Placer,5341 Feet,Gold,38.9906,-120.49810,10140087
Roach Hill Quartz,Placer,2402 Feet,Gold,39.11667,-120.85611,10034902
Gold Dike Mine,Placer,6401 Feet,Gold,39.1853,-120.54670,10285768
Unnamed Location,Placer,4219 Feet,Gold,39.0242,-120.51610,10261210
Morning Star and Rocky Ridge,Placer,869 Feet,Gold,38.89222,-121.11028,10103125
Cooper Claim,Placer,879 Feet,Gold,38.90472,-121.14222,10101336
Big Ben Cons.,Placer,259 Feet,Gold,38.945,-121.25639,10101334
Bake Oven Placer,Placer,1801 Feet,Gold,39.04556,-120.68250,10077064
Forest Hill Divide Mine,Placer,2201 Feet,Gold,38.9989,-120.91690,10261887
New Black Jack,Placer,2359 Feet,Gold,38.9739,-120.89830,10115690
Mitter Slope,Placer,1801 Feet,Gold,39.0442,-120.76530,10237400
Brown and Parks,Placer,6201 Feet,Gold,39.1325,-120.52970,10116163
Mina Rica,Placer,1001 Feet,Gold,38.8975,-121.10889,10101346
Golden Stag,Placer,928 Feet,Gold,38.8925,-121.10556,10007709
Haney Cons,Placer,5600 Feet,Gold,39.1061,-120.52780,10261385
X-Ray Mine,Placer,5561 Feet,Gold,39.1861,-120.49750,10116135
Bisbee,Placer,2001 Feet,Gold,38.96333,-120.90278,10034858
Gould Mine,Placer,3599 Feet,Gold,39.13167,-120.81528,10110848
Virginia Placer Co,Placer,276 Feet,Gold,38.9781,-121.26390,10285866
Dredged Area,Placer,121 Feet,Gold,39.0353,-121.34390,10116043
Trap Line Mine,Placer,5620 Feet,Gold,39.0972,-120.53440,10116009
Sauer Kraut Bite Mine,Placer,5761 Feet,Gold,39.1231,-120.52750,10285878
Devils Basin Cons Mines,Placer,3599 Feet,Gold,39.08917,-120.65694,10110855
Doig Consolidated,Placer,1020 Feet,Gold,38.90139,-121.12389,10101344
El Dorado and Placer Gold Mng. and Power Co.,Placer,na,Gold,38.938,-120.93800,10032087
Cradall Mine,Placer,1001 Feet,Gold,38.9006,-121.08310,10188704
Salsic,Placer,1460 Feet,Gold,38.9197,-121.06860,10261224
Golden Rule,Placer,600 Feet,Gold,38.8036,-121.10780,10213110
Old Pacific,Placer,640 Feet,Gold,38.86444,-121.14750,10007684
Bob Lewis,Placer,4600 Feet,Gold,39.1383,-120.70140,10189113
Rawhide Cons,Placer,2920 Feet,Gold,39.1967,-120.73920,10261969
Mars Cons.,Placer,4800 Feet,Gold,39.20806,-120.55389,10103124
Mascot,Placer,3159 Feet,Gold,39.0306,-120.82080,10116262
White Pine,Placer,2999 Feet,Gold,39.1175,-120.83500,10213032
Unnamed Location,Placer,3241 Feet,Gold,39.1397,-120.83170,10139895
Rocky Bar Estey,Placer,1050 Feet,Gold,39.09194,-120.91833,10032089
Potato Flatiron,Placer,4199 Feet,Gold,39.14333,-120.70500,10077048
Marrs Mine,Placer,2598 Feet,Gold,39.2028,-120.66690,10212635
Beaman Ledge Mine,Placer,5000 Feet,Gold,39.0992,-120.58140,10261590
Unnamed Location,Placer,3799 Feet,Gold,39.1175,-120.62390,10164562
Star Town Mine,Placer,4600 Feet,Gold,39.1203,-120.60750,10261731
Eureka Cons Drift Mng Co,Placer,4478 Feet,Gold,39.1458,-120.65110,10261326
Black Canyon,Placer,5118 Feet,Gold,39.1694,-120.61000,10116161
Big Chief Mine,Placer,3839 Feet,Gold,39.0503,-120.64830,10115558
Clydesdale Mine,Placer,3770 Feet,Gold,38.9803,-120.57860,10164341
Wild Yankee,Placer,3399 Feet,Gold,39.2222,-120.69780,10286287
Snowbird,Placer,4081 Feet,Gold,39.1244,-120.73860,10188546
Burner Prospect,Placer,2241 Feet,Gold,38.98222,-120.94611,10101358
Unnamed Location,Placer,4278 Feet,Gold,39.1139,-120.67250,10115978
Patrick Cons,Placer,5000 Feet,Gold,39.1589,-120.62080,10261943
Unnamed Location,Placer,3780 Feet,Gold,38.9892,-120.58560,10139803
Unnamed Location,Placer,3999 Feet,Gold,39.1383,-120.76280,10140282
Burnham Pit,Placer,3209 Feet,Gold,39.0331,-120.74500,10285987
