Mine,County,Elevation,Commodity,Latitude,Longitude,MRDS
E.A. Kent Dredge No. 1,Amador,na,Gold,38.5367,-120.71190,10187222
Doyle,Amador,974 Feet,Gold,38.3253,-120.75310,10260337
Templeton,Amador,1001 Feet,Gold,38.4908,-120.84280,10163129
Randell,Amador,2221 Feet,Gold,38.4186,-120.62420,10283943
Downs,Amador,2241 Feet,Gold,38.4611,-120.60420,10284248
Fort Ann Mine,Amador,2461 Feet,Gold,38.4883,-120.63060,10187404
Spagnoli,Amador,2320 Feet,Gold,38.3881,-120.66000,10259887
Placer Gravel,Amador,1699 Feet,Gold,38.4828,-120.76580,10186868
Isaac Newton,Amador,1099 Feet,Gold,38.3283,-120.75330,10284705
No. 1 and No. 2,Amador,1299 Feet,Gold,38.395,-120.78780,10259760
Crannis,Amador,801 Feet,Gold,38.3028,-120.75140,10280269
Unnamed Workings,Amador,1900 Feet,Gold,38.5306,-120.76750,10284398
Hercules,Amador,801 Feet,Gold,38.4583,-120.83610,10284706
Indiana Mine,Amador,1079 Feet,Gold,38.4775,-120.84390,10260073
El Dorado,Amador,1001 Feet,Gold,38.4242,-120.81720,10211643
Argonaut Mine,Amador,1519 Feet,Gold,38.3631,-120.78530,10235166
Old Eureka,Amador,1329 Feet,Gold,38.3881,-120.79890,10138777
Farrell,Amador,600 Feet,Gold,38.2911,-120.75330,10235281
Little Sargent,Amador,899 Feet,Gold,38.3025,-120.75250,10138554
Dewitt,Amador,1250 Feet,Gold,38.3203,-120.75690,10284680
Victoria,Amador,1099 Feet,Gold,38.4683,-120.84220,10113939
Governor Bradford,Amador,899 Feet,Gold,38.4594,-120.84280,10114145
Plymouth-Eureka,Amador,1240 Feet,Gold,38.49,-120.86080,10162499
Wonder,Amador,1099 Feet,Gold,38.4192,-120.82030,10211298
Tiger Mine,Amador,na,Gold,38.5175,-120.93611,10028057
Unknown,Amador,na,Gold,38.44211,-120.64467,10028025
Fancher,Amador,na,Gold Clay,38.29861,-120.93111,10028015
New London Mine,Amador,1060 Feet,Gold,38.4686,-120.84500,10138365
Amador Mine,Amador,1250 Feet,Gold,38.3322,-120.75360,10187306
Fuller,Amador,1401 Feet,Gold,38.3303,-120.76170,10114725
Blue Jacket,Amador,1260 Feet,Gold,38.3458,-120.76360,10235194
Plymouth Consolidated,Amador,1050 Feet,Gold,38.47528,-120.84333,10028108
Mexican,Amador,na,Gold,38.43139,-120.56389,10034502
Black Prince,Amador,741 Feet,Gold,38.3947,-120.88110,10114150
Plymouth Consolidated Group,Amador,1099 Feet,Gold,38.4753,-120.84330,10235201
Mountain Gold Dredging Co.,Amador,899 Feet,Gold,38.4539,-120.86920,10162661
Kreth Ranch,Amador,299 Feet,Gold,38.2372,-120.89000,10114575
Lone Willow Group,Amador,2799 Feet,Gold,38.44694,-120.56694,10028340
Downs,Amador,2402 Feet,Gold,38.46111,-120.60417,10028307
Peterson,Amador,na,Gold,38.4075,-120.67444,10028291
Florence,Amador,na,Gold,38.40306,-120.65972,10028289
Eureka,Amador,na,Gold,38.38806,-120.79889,10028224
Dredge Failings,Amador,541 Feet,Gold,38.4547,-120.95310,10163143
West Eureka,Amador,1220 Feet,Gold,38.39278,-120.80500,10028221
Belden,Amador,na,Gold,38.43556,-120.51972,10028345
South Keystone,Amador,1401 Feet,Gold,38.4044,-120.80170,10304871
Golden Gate Consolidated,Amador,801 Feet,Gold,38.5489,-120.84610,10259810
Golden Gate,Amador,801 Feet,Gold,38.5475,-120.86310,10187479
Lady Bedford,Amador,1001 Feet,Gold,38.5458,-120.84170,10114046
Osceola,Amador,1001 Feet,Gold,38.5478,-120.84310,10284537
Philadelphia,Amador,1001 Feet,Gold,38.5472,-120.84330,10260309
Ballard,Amador,820 Feet,Gold,38.5478,-120.84560,10159605
Tiger Mine,Amador,600 Feet,Gold,38.5247,-120.93250,10235489
Pioneer Lucky Strike MadronaHarding,Amador,2900 Feet,Gold,38.44417,-120.56167,10028343
Red Star,Amador,1066 Feet,Gold,38.4847,-120.84110,10211449
Jupiter,Amador,801 Feet,Gold,38.5331,-120.87060,10187257
Amador King,Amador,899 Feet,Gold,38.5344,-120.84500,10138444
Bryan,Amador,1119 Feet,Gold,38.5361,-120.84530,10259807
Bunker Hill Mine,Amador,1089 Feet,Gold,38.425,-120.82360,10235431
Dredge Tailings,Amador,574 Feet,Gold,38.4328,-120.86500,10259857
Stevich Placer,Amador,na,Gold,38.36444,-120.78222,10028241
Ione Formation,Amador,249 Feet,Gold,38.3692,-120.96860,10114699
Horton,Amador,249 Feet,Gold,38.2914,-120.98330,10283948
North Lincoln,Amador,na,Gold,38.3975,-120.80528,10028216
McKay and Love,Amador,na,Gold,38.31806,-120.75333,10028184
Kennedy Extension,Amador,1450 Feet,Gold,38.3644,-120.78470,10235370
Eureka No 2,Amador,801 Feet,Gold,38.4531,-120.83810,10187051
Wyomea,Amador,1099 Feet,Gold,38.4967,-120.84140,10114193
L. K. Hall,Amador,na,Gold,38.31806,-120.73278,10028181
Chili Jim,Amador,na,Gold,38.44778,-120.83333,10028165
Rising Star,Amador,na,Gold,38.475,-120.84333,10028134
Onondago,Amador,na,Gold,38.53639,-120.85000,10028124
Horton,Amador,na,Gold,38.29139,-120.98333,10028013
Echo Restoration and Other Claims,Amador,na,Gold,38.43917,-120.51028,10028344
Tnt Mine,Amador,3209 Feet,Gold,38.4631,-120.51530,10187011
Chicago,Amador,1060 Feet,Gold,38.4714,-120.84750,10114218
Peterson,Amador,2441 Feet,Gold,38.4075,-120.67440,10235493
Caucasian Consolidated,Amador,1040 Feet,Gold,38.5333,-120.84470,10162620
Great Eastern,Amador,1040 Feet,Gold,38.5389,-120.83670,10211160
Venture,Amador,869 Feet,Gold,38.5389,-120.84560,10183856
Placeritas Mining Co,Amador,899 Feet,Gold,38.4461,-120.86720,10138480
Pension,Amador,600 Feet,Gold,38.5211,-120.93110,10114305
Great Eastern,Amador,na,Gold,38.53889,-120.83667,10028131
East Amador,Amador,na,Gold,38.42167,-120.82250,10028116
Unidentified Prospects,Amador,na,Gold Chromium,38.41842,-120.91838,10028113
Lilly Dredge,Amador,400 Feet,Gold,38.5292,-120.94000,10211749
Sierra,Amador,1549 Feet,Gold,38.3594,-120.78860,10114235
Muldoon Group,Amador,1499 Feet,Gold,38.3617,-120.78360,10162735
Pick and Drill,Amador,na,Gold,38.41806,-120.56472,10028360
Good Hope,Amador,1099 Feet,Gold,38.3425,-120.76750,10028251
New Hope Mine,Amador,1099 Feet,Gold,38.4864,-120.86670,10235760
Garibaldi Ranch,Amador,600 Feet,Gold,38.4186,-120.88250,10114594
Keystone Mine,Amador,1050 Feet,Gold,38.4181,-120.82190,10260202
Extension,Amador,na,Gold,38.475,-120.84333,10028104
Jackson,Amador,1299 Feet,Gold,38.3603,-120.78110,10235528
Golden Gate,Amador,1299 Feet,Gold,38.3644,-120.78220,10114729
Sunset,Amador,1401 Feet,Gold,38.3547,-120.80530,10235597
Plymouth Rock,Amador,961 Feet,Gold,38.47417,-120.86722,10028102
Black Prince,Amador,na,Gold,38.39472,-120.88111,10028073
South Cosmopolitan,Amador,925 Feet,Gold,38.4531,-120.83360,10259661
Gopher Mine,Amador,1089 Feet,Gold,38.4389,-120.83080,10138532
Bona Fortuna,Amador,899 Feet,Gold,38.4308,-120.82560,10114431
Treasure,Amador,961 Feet,Gold,38.4314,-120.82670,10235452
Midway and Esmeralda,Amador,2799 Feet,Gold,38.44639,-120.55639,10028342
Unknown,Amador,na,Gold,38.47444,-120.63972,10028305
Unknown,Amador,na,Gold,38.38806,-120.65972,10028294
Unnamed Mine,Amador,1260 Feet,Gold,38.4167,-120.81830,10162682
Min. Seg. Patented,Amador,1201 Feet,Gold,38.4228,-120.81890,10138138
Massa Tunnel,Amador,1280 Feet,Gold,38.3644,-120.77560,10138317
Shakespeare,Amador,1001 Feet,Gold,38.4667,-120.84170,10304902
Yellow Jacket,Amador,899 Feet,Gold,38.4614,-120.84330,10186871
Hardscrabble,Amador,751 Feet,Gold,38.4542,-120.84420,10187150
Philadelphia,Amador,1001 Feet,Gold,38.54722,-120.84333,10028126
Colorado Group,Amador,377 Feet,Gold,38.2436,-120.88140,10235398
Clipper,Amador,2001 Feet,Gold,38.4867,-120.74190,10284650
Pine Grove,Amador,na,Gold Silver,38.44167,-120.51806,10102602
White,Amador,1299 Feet,Gold,38.3597,-120.77060,10114354
Stavich Placer,Amador,1299 Feet,Gold,38.3644,-120.78220,10235790
Silva Placer,Amador,1299 Feet,Gold,38.3644,-120.78220,10184372
Unknown,Amador,na,Gold,38.22899,-120.91821,10091930
Madrill Dredge,Amador,151 Feet,Gold,38.2251,-120.93450,10260216
Whomea,Amador,1001 Feet,Gold,38.5031,-120.84560,10211333
Unidentified Workings,Amador,499 Feet,Gold,38.4225,-120.94860,10114200
Two Mining Locations,Amador,1001 Feet,Gold,38.4181,-120.82780,10235809
Ebelbrau,Amador,na,Gold,38.52694,-120.73111,10028283
Blue Jacket,Amador,na,Gold,38.34583,-120.76361,10028250
Maryland,Amador,na,Gold,38.44806,-120.83194,10028168
Governor Bradford,Amador,na,Gold,38.45944,-120.84278,10028149
Pioneer,Amador,1099 Feet,Gold,38.45722,-120.85056,10028141
Dredge Tailings,Amador,180 Feet,Gold,38.2283,-120.90360,10187149
Amador King,Amador,899 Feet,Gold,38.53444,-120.84500,10028128
Nevada Wabash,Amador,1401 Feet,Gold,38.4058,-120.81110,10284699
Clinton Consolidated,Amador,2700 Feet,Gold,38.389,-120.65900,10028293
Golden Eagle,Amador,1401 Feet,Gold,38.40333,-120.80778,10028211
Fremont-Gover Inc. Loyal Lode,Amador,na,Gold,38.43889,-120.83083,10028172
Hercules,Amador,na,Gold,38.45833,-120.83611,10028150
Dewitt,Amador,na,Gold,38.32,-120.75694,10034498
Irma and Weldon,Amador,801 Feet,Gold,38.4469,-120.86310,10211599
Crown Point,Amador,699 Feet,Gold,38.4433,-120.85440,10187321
North California,Amador,801 Feet,Gold,38.4522,-120.83830,10187233
Defiance,Amador,2999 Feet,Gold,38.4319,-120.56690,10259972
Defender,Amador,2930 Feet,Gold,38.4256,-120.56720,10260348
Rising Star,Amador,1076 Feet,Gold,38.4917,-120.84330,10259779
Levaggi,Amador,2900 Feet,Gold,38.4317,-120.53220,10284696
Black Prince Mine,Amador,2779 Feet,Gold,38.4278,-120.52500,10211482
Echo Restoration and Other Claims,Amador,2598 Feet,Gold,38.4392,-120.51030,10235502
Pine Grove,Amador,2999 Feet,Gold,38.4417,-120.51810,10211265
Modol,Amador,3399 Feet,Gold,38.4467,-120.54780,10284068
Old Lone Willow,Amador,3100 Feet,Gold,38.4469,-120.56500,10187131
California,Amador,899 Feet,Gold,38.4539,-120.83530,10284446
Pocamontas,Amador,899 Feet,Gold,38.4533,-120.83530,10114742
Chili Jim,Amador,1001 Feet,Gold,38.4478,-120.83330,10211159
Coulter,Amador,1001 Feet,Gold,38.4461,-120.83390,10186968
Homestake,Amador,1001 Feet,Gold,38.4469,-120.83500,10259985
Italian Mine,Amador,938 Feet,Gold,38.4439,-120.83000,10184052
Lone Willow Group,Amador,3199 Feet,Gold,38.4469,-120.56690,10138099
Tierakoff,Amador,na,Gold,38.41944,-120.56722,10028363
Lancha Plana Gold Dredging Co.,Amador,381 Feet,Gold,38.33,-120.92000,10076462
Trench,Amador,na,Gold,38.42,-120.55230,10095072
Hageman,Amador,na,Gold,38.42052,-120.55204,10102604
Spagnoli,Amador,na,Gold,38.38806,-120.66000,10102599
Ratto Mine,Amador,na,Gold,38.37,-120.77361,10028229
East Eureka,Amador,1499 Feet,Gold,38.38444,-120.79806,10028223
New Albany,Amador,600 Feet,Gold,38.3,-120.75000,10028201
