i	dep_id	yr	line	res_nm	res_tp	proved	probable	reserves	meas	indic	demo	infer	tot_resources	tot_endowment	units	best_rec	remrk	inserted_by	insert_date	updated_by	update_date
11496	"10133887"	"1981"	1	""	"In-situ"				210000000		210000000		210000000		"mt ore"	"Y"	""	"MAS migration"	"29-OCT-02"	"Paul Schruben"	"10-JAN-06"
11497	"10015297"	"1973"	20	""	"In-situ"										"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-2002 00:00:00"	""	""
11498	"10188056"	"1948"	1	""	"In-situ"					4539	4539		4539		"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
11499	"10288842"	"1994"	1	""	"In-situ"				82600000		82600000		82600000		"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
11500	"10086870"	"1979"	20	""	"In-situ"								3200000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-02"	"Paul Schruben"	"10-JAN-06"
11501	"10304352"	"1995"	1	""	"In-situ"								12000000		"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
11502	"10095935"	"1994"	1	""	"In-situ"								4000000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-2002 00:00:00"	""	""
11503	"10006431"	"1977"	20	""	"In-situ"								9918000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
11504	"10232204"	"1993"	5	""	"In-situ"						11630000		11630000		"mt ore"	""	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
11505	"10232204"	"1993"	1	""	"In-situ"					11630000	11630000		11630000		"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
11506	"10232204"	"1987"	4	""	"In-situ"				11800000						"mt ore"	""	""	"MAS migration"	"29-OCT-2002 00:00:00"	""	""
11507	"10046282"	"1988"	1	""	"In-situ"					95300000					"mt ore"	""	""	"CLAANDER"	"05-AUG-09"	""	""
11508	"10046282"	"1982"	1	""	"In-situ"			95000000							"mt ore"	""	""	"CLAANDER"	"05-AUG-09"	""	""
11509	"10046282"	"1978"	1	""	"In-situ"								45351000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-02"	""	""
11510	"10255294"	"1974"	1	""	"In-situ"				635000		635000		635000		"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
11511	"10134655"	"0"	1	""	"In-situ"					640600	640600		640600		"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
11512	"10304807"	"1993"	1	""	"In-situ"						1120000		1120000		"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
11513	"10059004"	"1980"	1	""	"In-situ"								3000000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-2002 00:00:00"	""	""
11514	"10206986"	"1993"	2	""	"In-situ"						1400000		1400000		"mt ore"	""	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
11515	"10206986"	"1983"	1	""	"In-situ"						1400000		1400000		"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
11516	"10303826"	"1976"	2	""	"In-situ"				1361000		1361000		1361000		"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
11517	"10086935"	"1963"	1	""	"In-situ"								50000000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-2002 00:00:00"	""	""
