gid,state,county,ftr_type,ftr_name,ftr_azimut,topo_name,topo_date,topo_scale,compiledby,remarks,gda_id,scanid,dir,longitude,latitude
489947,CA,Siskiyou,Adit,"Jumpoff Joe Curve",349,"Sawyers Bar",1955,62500,USGS,,5504417,301651,n,-123.01191495799992,41.36792180300006
58755,CA,Siskiyou,"Mine Shaft","Tip Top Mine",0,"Tanners Peak",1977,24000,"CA Dept Conserv",,5524295,300790,,-123.09260154599991,41.257302725000045
60712,CA,Siskiyou,"Open Pit Mine or Quarry",,0,"Tanners Peak",1977,24000,"CA Dept Conserv",,5524295,300790,,-123.08354490599993,41.294563062000066
60713,CA,Siskiyou,"Open Pit Mine or Quarry",,0,"Tanners Peak",1977,24000,"CA Dept Conserv",,5524295,300790,,-123.08357173299993,41.293553288000055
83826,CA,Siskiyou,"Prospect Pit",,0,"Tanners Peak",1977,24000,"CA Dept Conserv",,5524295,300790,,-123.09488353599994,41.26459318600007
83902,CA,Siskiyou,"Prospect Pit",,0,"Tanners Peak",1977,24000,"CA Dept Conserv",,5524295,300790,,-123.0954542099999,41.26479152700006
83909,CA,Siskiyou,"Prospect Pit",,0,"Tanners Peak",1977,24000,"CA Dept Conserv",,5524295,300790,,-123.08950008699992,41.25652306200004
83979,CA,Siskiyou,"Prospect Pit",,0,"Tanners Peak",1977,24000,"CA Dept Conserv",,5524295,300790,,-123.09459639599993,41.26390985200004
84000,CA,Siskiyou,"Prospect Pit",,0,"Tanners Peak",1977,24000,"CA Dept Conserv",,5524295,300790,,-123.0847203749999,41.25602123500005
84022,CA,Siskiyou,"Prospect Pit",,0,"Tanners Peak",1977,24000,"CA Dept Conserv",,5524295,300790,,-123.08859360199995,41.262659418000055
84040,CA,Siskiyou,"Prospect Pit",,0,"Tanners Peak",1977,24000,"CA Dept Conserv",,5524295,300790,,-123.09405752299995,41.25631081100005
84045,CA,Siskiyou,"Prospect Pit",,0,"Tanners Peak",1977,24000,"CA Dept Conserv",,5524295,300790,,-123.08513024299992,41.26771934000004
84055,CA,Siskiyou,"Prospect Pit",,0,"Tanners Peak",1977,24000,"CA Dept Conserv",,5524295,300790,,-123.09295339599993,41.26708389400005
84066,CA,Siskiyou,"Prospect Pit",,0,"Tanners Peak",1977,24000,"CA Dept Conserv",,5524295,300790,,-123.09336056599994,41.256983035000076
84073,CA,Siskiyou,"Prospect Pit",,0,"Tanners Peak",1977,24000,"CA Dept Conserv",,5524295,300790,,-123.08946678299992,41.25629374400006
84093,CA,Siskiyou,"Prospect Pit",,0,"Tanners Peak",1977,24000,"CA Dept Conserv",,5524295,300790,,-123.0935556099999,41.26692740100009
84139,CA,Siskiyou,"Prospect Pit",,0,"Tanners Peak",1977,24000,"CA Dept Conserv",,5524295,300790,,-123.09015510599994,41.25650690700007
